Sport,Name,sport_name,Time,TSS,Swim_ind,Bike_ind,Run_ind,Recovery_ind,Elite_ind,Prep_ind,Base 1_ind,Base 2_ind,Base 3_ind,Build 1_ind,Build 2_ind,Peak_ind,E_ind,S_ind,M_Ind,P_ind,F_ind,A_ind
Bike,S1.3alt,BikeS1,25,15.5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.4alt,BikeS1,25,21,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5alt,BikeS1,35.66665,22.5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5blt,BikeS1,25.16665,16,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5clt,BikeS1,34,27.5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5dlt,BikeS1,22.5,17,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5elt,BikeS1,43,35.5,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5flt,BikeS1,28.25,26,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5glt,BikeS1,24,19,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Run,A1lt,RunA1,31,39.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A2.1lt,RunA2,22.5,31.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A2.2lt,RunA2,24.75,35.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A2.3lt,RunA2,25.5,37,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A2.4lt,RunA2,28.5,42.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A2.5lt,RunA2,28.5,42.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A2.6lt,RunA2,31.5,48,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A2.7lt,RunA2,33.5,51,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A3.1lt,RunA3,24.5,34.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A3.2lt,RunA3,30,44.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A3.3lt,RunA3,32.75,49.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Run,A4.1lt,RunA4,23.5,32,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Run,A4.2lt,RunA4,25.5,36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Run,A4.3lt,RunA4,22,30,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Run,A4.4lt,RunA4,27.5,38,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Run,A4.5lt,RunA4,31.5,44.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Run,E1.1lt,RunE1,10,11.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E1.2lt,RunE1,15,17.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E1.3lt,RunE1,20,23.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E1.4lt,RunE1,25,29.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E1.5lt,RunE1,30,35.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.1lt,RunE2,20,13.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.1blt,RunE2,22.5,19,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.2lt,RunE2,25,16.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.3lt,RunE2,30,20,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.4lt,RunE2,35,23.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.5lt,RunE2,40,26.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.6lt,RunE2,45,30,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.7lt,RunE2,50,33.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.1alt,RunE2,20,16.5,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.2alt,RunE2,25,21,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.3alt,RunE2,30,25,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.4alt,RunE2,35,29,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E2.5alt,RunE2,37.5,25,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Run,E3.1lt,RunE3,23,28.5,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.2lt,RunE3,25,31.5,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.3lt,RunE3,28.5,36.5,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.4lt,RunE3,31.5,41,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.4alt,RunE3,34.5,45.5,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.5lt,RunE3,27.5,34.5,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.6lt,RunE3,30,38,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.7lt,RunE3,25,31.5,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.8lt,RunE3,22.5,28,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.9lt,RunE3,22.5,21.5,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.10lt,RunE3,25,24,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.11lt,RunE3,30,29,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.12lt,RunE3,35,34,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.13lt,RunE3,40,39,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,E3.14lt,RunE3,45,44,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Run,F1.1lt,RunF1,27,31,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.2lt,RunF1,29.5,34.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.3lt,RunF1,30,35.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.4lt,RunF1,27,32.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.5lt,RunF1,28,34,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.6lt,RunF1,27.5,34,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.7lt,RunF1,28.5,35,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.8lt,RunF1,22.5,27,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,F1.9lt,RunF1,31.5,37.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Run,M1.1lt,RunM1,28,35.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Run,M1.2lt,RunM1,30,38.5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Run,M2.2lt,RunM2,29.5,37,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Run,S1.1lt,RunS1,19.5,22.5,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Run,S1.2lt,RunS1,32,39,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Run,S1.3lt,RunS1,28,36.5,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Run,S1.4lt,RunS1,23.75,29,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Run,S1.5lt,RunS1,16.5,18.5,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Run,S1.6lt,RunS1,25.5,30.5,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Run,S1.7lt,RunS1,24.5,29.5,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Swim,A1.1lt,SwimA1,19.25,20,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Swim,A1.2lt,SwimA1,21.75,24,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Swim,A1.3lt,SwimA1,26,28.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Swim,A1.4lt,SwimA1,15,15.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Swim,A2.1lt,SwimA2,25,22,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Swim,A2.2lt,SwimA2,25,25,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Swim,A2.3lt,SwimA2,27,30,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Swim,A2.4lt,SwimA2,15.5,16,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Swim,E2.1lt,SwimE2,16,16,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Swim,E2.2lt,SwimE2,16,17,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Swim,E2.2alt,SwimE2,21.5,20.5,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Swim,E2.3lt,SwimE2,20,22,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Swim,E2.4lt,SwimE2,24,26.5,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Swim,E2.5lt,SwimE2,14.5,14,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
